product_uuid,actual_price,selling_price,average_rating,brand,category,out_of_stock,product_id,seller,sub_category,title,discount
f0ffe0d1-b192-52ed-a82c-1ab3a61d59d8,2999.0,539.0,2.7,Unknown,Clothing and Accessories,0,CTPFW62WGA7PNYYB,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Pink),82.0
c8d06a9d-3d6c-545d-993f-42d8cadca752,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPJZKBVGK2FV,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
30b21de2-2df4-5ed8-829f-cc62a5c7fa81,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPGFXKE5EA9A,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Pink),77.0
185b3e73-fd58-542c-a829-577895ce6ea1,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFWYMNQD6FQMZ2,NextEdgeRetails,Clothing Accessories,"nu-Lite Satin Tie Pin Set  (Brown, Red)",77.0
43577c4c-fb17-5cf2-a6ff-5e20470b9e13,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVSXYFFS9XHDG,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Brown),77.0
24b6361b-0535-51fd-9c69-af39172d903c,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTHJZUD3JTX,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Purple),81.0
a549a2af-504f-59bd-ae23-7acb21ec5d11,1539.0,699.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZHVZVU4VQW9,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Grey),54.0
8d92559c-6538-5f0c-bc6a-a880207b789d,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZT6GAFZ7BJX,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),81.0
2c1d532e-7f8e-5b94-a629-b4c95fd9ddb7,3299.0,899.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZT2F5UPM4YT,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Pink),72.0
3277ec81-728b-5dd0-9e11-6932305c79f6,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZGFGH6J9PUU,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),77.0
3c881c48-c6a0-54e8-bea5-728755ce6fd5,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPFPUWYQC9M5,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Black),77.0
72a539d2-aa7e-5601-9c20-1c5ee697000f,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPEGPYEJ7VYR,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Purple),77.0
4c4434e6-4650-5e13-ac04-aa7ac1293f87,2999.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFW63J86FZFHDS,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Pink),83.0
6b6227de-bb3e-59a8-adfa-0e29396c99d0,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPFBTAEGR5SZ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Multicolor),77.0
